id_geo___ca,comunidad_provincia,total,s_limitadas,s_anonimas,sotras,personas_fisicas,año,trimestre
639,Cantabria,30.0,3.0,0.0,1.0,26.0,2023,1
705,Ávila,8.0,2.0,0.0,0.0,6.0,2023,1
709,Burgos,44.0,8.0,1.0,0.0,35.0,2023,1
724,León,21.0,1.0,1.0,0.0,19.0,2023,1
734,Palencia,2.0,1.0,0.0,0.0,1.0,2023,1
737,Salamanca,44.0,6.0,0.0,1.0,37.0,2023,1
740,Segovia,4.0,1.0,0.0,1.0,2.0,2023,1
742,Soria,15.0,0.0,0.0,0.0,15.0,2023,1
747,Valladolid,33.0,5.0,0.0,0.0,28.0,2023,1
749,Zamora,9.0,3.0,0.0,0.0,6.0,2023,1
802,Albacete,21.0,7.0,0.0,0.0,14.0,2023,1
813,Ciudad Real,19.0,8.0,2.0,0.0,9.0,2023,1
816,Cuenca,10.0,3.0,0.0,0.0,7.0,2023,1
819,Guadalajara,21.0,1.0,1.0,0.0,19.0,2023,1
845,Toledo,53.0,3.0,0.0,0.0,50.0,2023,1
908,Barcelona,1484.0,210.0,13.0,8.0,1253.0,2023,1
917,Girona,97.0,6.0,2.0,0.0,89.0,2023,1
925,Lleida,137.0,9.0,1.0,0.0,127.0,2023,1
943,Tarragona,142.0,12.0,1.0,0.0,129.0,2023,1
734,Valencia,537.0,96.0,7.0,2.0,432.0,2023,1
1106,Badajoz,49.0,4.0,0.0,0.0,45.0,2023,1
1110,Cáceres,2.0,2.0,0.0,0.0,0.0,2023,1
1227,Lugo,32.0,4.0,0.0,0.0,28.0,2023,1
1232,Ourense,12.0,1.0,0.0,0.0,11.0,2023,1
1236,Pontevedra,107.0,20.0,1.0,0.0,86.0,2023,1
1328,Madrid,884.0,173.0,15.0,4.0,692.0,2023,1
1430,Murcia,229.0,22.0,2.0,2.0,203.0,2023,1
1531,Navarra,22.0,4.0,2.0,0.0,16.0,2023,1
1601,Araba/Álava,17.0,6.0,0.0,0.0,11.0,2023,1
1648,Bizkaia,47.0,20.0,3.0,2.0,22.0,2023,1
1620,Gipuzkoa,86.0,12.0,2.0,2.0,70.0,2023,1
1851,Ceuta,17.0,1.0,0.0,1.0,15.0,2023,1
1952,Melilla,4.0,0.0,0.0,0.0,4.0,2023,1
104,Almería,204.0,17.0,2.0,0.0,185.0,2023,2
111,Cádiz,30.0,4.0,0.0,0.0,26.0,2023,2
114,Córdoba,43.0,8.0,0.0,0.0,35.0,2023,2
118,Granada,105.0,12.0,2.0,1.0,90.0,2023,2
121,Huelva,53.0,2.0,1.0,0.0,50.0,2023,2
123,Jaén,50.0,6.0,1.0,0.0,43.0,2023,2
129,Málaga,197.0,24.0,2.0,1.0,170.0,2023,2
141,Sevilla,309.0,35.0,0.0,3.0,271.0,2023,2
943,Aragón,190.0,33.0,5.0,2.0,150.0,2023,2
222,Huesca,54.0,7.0,0.0,0.0,47.0,2023,2
244,Teruel,11.0,2.0,0.0,0.0,9.0,2023,2
250,Zaragoza,125.0,24.0,5.0,2.0,94.0,2023,2
333,Asturias,129.0,16.0,1.0,0.0,112.0,2023,2
407,"Balears, Illes",228.0,28.0,2.0,1.0,197.0,2023,2
639,Canarias,617.0,31.0,1.0,1.0,584.0,2023,2
538,Santa Cruz de Tenerife,226.0,11.0,1.0,0.0,214.0,2023,2
639,Cantabria,47.0,5.0,1.0,1.0,40.0,2023,2
705,Ávila,33.0,0.0,3.0,0.0,30.0,2023,2
709,Burgos,31.0,4.0,1.0,0.0,26.0,2023,2
724,León,99.0,5.0,0.0,0.0,94.0,2023,2
734,Palencia,21.0,1.0,2.0,0.0,18.0,2023,2
737,Salamanca,40.0,5.0,0.0,0.0,35.0,2023,2
740,Segovia,29.0,5.0,1.0,0.0,23.0,2023,2
742,Soria,8.0,0.0,0.0,0.0,8.0,2023,2
747,Valladolid,77.0,10.0,0.0,0.0,67.0,2023,2
749,Zamora,1.0,0.0,0.0,0.0,1.0,2023,2
802,Albacete,24.0,4.0,1.0,0.0,19.0,2023,2
813,Ciudad Real,59.0,9.0,0.0,0.0,50.0,2023,2
816,Cuenca,21.0,2.0,2.0,0.0,17.0,2023,2
819,Guadalajara,60.0,1.0,0.0,0.0,59.0,2023,2
845,Toledo,47.0,4.0,0.0,0.0,43.0,2023,2
908,Barcelona,2300.0,285.0,18.0,10.0,1987.0,2023,2
917,Girona,371.0,17.0,2.0,1.0,351.0,2023,2
925,Lleida,140.0,6.0,0.0,1.0,133.0,2023,2
943,Tarragona,197.0,10.0,0.0,0.0,187.0,2023,2
734,Valencia,923.0,129.0,2.0,5.0,787.0,2023,2
1106,Badajoz,62.0,10.0,2.0,0.0,50.0,2023,2
1110,Cáceres,59.0,5.0,0.0,1.0,53.0,2023,2
1227,Lugo,73.0,13.0,0.0,1.0,59.0,2023,2
1232,Ourense,26.0,4.0,0.0,0.0,22.0,2023,2
1236,Pontevedra,154.0,20.0,1.0,0.0,133.0,2023,2
1328,Madrid,1281.0,187.0,12.0,7.0,1075.0,2023,2
1430,Murcia,291.0,30.0,5.0,1.0,255.0,2023,2
1531,Navarra,120.0,14.0,1.0,0.0,105.0,2023,2
1601,Araba/Álava,45.0,10.0,3.0,1.0,31.0,2023,2
1648,Bizkaia,147.0,40.0,6.0,2.0,99.0,2023,2
1620,Gipuzkoa,75.0,16.0,0.0,2.0,57.0,2023,2
1851,Ceuta,13.0,0.0,0.0,0.0,13.0,2023,2
1952,Melilla,0.0,0.0,0.0,0.0,0.0,2023,2
104,Almería,71.0,3.0,0.0,0.0,68.0,2023,3
111,Cádiz,104.0,14.0,0.0,0.0,90.0,2023,3
114,Córdoba,33.0,5.0,1.0,0.0,27.0,2023,3
118,Granada,89.0,13.0,0.0,0.0,76.0,2023,3
121,Huelva,29.0,3.0,0.0,0.0,26.0,2023,3
123,Jaén,29.0,2.0,0.0,0.0,27.0,2023,3
129,Málaga,110.0,17.0,1.0,0.0,92.0,2023,3
141,Sevilla,236.0,45.0,3.0,2.0,186.0,2023,3
943,Aragón,189.0,32.0,1.0,2.0,154.0,2023,3
222,Huesca,30.0,4.0,0.0,0.0,26.0,2023,3
244,Teruel,6.0,2.0,0.0,0.0,4.0,2023,3
250,Zaragoza,153.0,26.0,1.0,2.0,124.0,2023,3
333,Asturias,142.0,20.0,3.0,0.0,119.0,2023,3
407,"Balears, Illes",273.0,19.0,0.0,0.0,254.0,2023,3
639,Canarias,397.0,28.0,1.0,1.0,367.0,2023,3
538,Santa Cruz de Tenerife,218.0,15.0,0.0,0.0,203.0,2023,3
639,Cantabria,45.0,9.0,1.0,0.0,35.0,2023,3
705,Ávila,9.0,1.0,0.0,0.0,8.0,2023,3
709,Burgos,34.0,4.0,0.0,0.0,30.0,2023,3
724,León,51.0,7.0,0.0,0.0,44.0,2023,3
734,Palencia,5.0,1.0,0.0,0.0,4.0,2023,3
737,Salamanca,31.0,7.0,0.0,1.0,23.0,2023,3
740,Segovia,17.0,4.0,0.0,0.0,13.0,2023,3
742,Soria,8.0,3.0,0.0,0.0,5.0,2023,3
747,Valladolid,92.0,13.0,0.0,1.0,78.0,2023,3
749,Zamora,10.0,0.0,1.0,0.0,9.0,2023,3
802,Albacete,108.0,18.0,1.0,0.0,89.0,2023,3
