,Comunidad/Provincia,Total,"V_Menos de 0,25","V_Entre 0,25 y 0,5","V_Entre 0,5 y 1",V_Entre 1 y 2,V_Entre 2 y 5,V_Entre 5 y 10,V_10 o mas,SD,Filename
325,Huesca,4,3,0,0,0,0,0,0,1,2022_2T.xlsx
326,Teruel,4,2,0,0,1,0,0,0,1,2022_2T.xlsx
327,Zaragoza,28,15,5,3,2,0,0,0,3,2022_2T.xlsx
328,Asturias,24,13,3,4,2,0,0,0,2,2022_2T.xlsx
329,"Balears, Illes",23,13,4,1,0,0,0,0,5,2022_2T.xlsx
330,Canarias,37,22,2,1,0,3,0,0,9,2022_2T.xlsx
331,Las Palmas de Gran Canaria,22,13,1,1,0,2,0,0,5,2022_2T.xlsx
332,Santa Cruz de Tenerife,15,9,1,0,0,1,0,0,4,2022_2T.xlsx
333,Cantabria,8,1,2,1,0,0,0,0,4,2022_2T.xlsx
334,Castilla y León,25,12,3,1,1,0,0,0,8,2022_2T.xlsx
335,Ávila,1,1,0,0,0,0,0,0,0,2022_2T.xlsx
336,Burgos,4,2,0,0,0,0,0,0,2,2022_2T.xlsx
337,León,5,2,2,0,0,0,0,0,1,2022_2T.xlsx
338,Palencia,1,0,0,0,0,0,0,0,1,2022_2T.xlsx
339,Salamanca,3,2,0,0,0,0,0,0,1,2022_2T.xlsx
340,Segovia,1,1,0,0,0,0,0,0,0,2022_2T.xlsx
341,Soria,3,1,0,0,0,0,0,0,2,2022_2T.xlsx
342,Valladolid,5,3,1,0,0,0,0,0,1,2022_2T.xlsx
343,Zamora,2,0,0,1,1,0,0,0,0,2022_2T.xlsx
344,Castilla-La Mancha,29,12,4,3,0,1,0,0,9,2022_2T.xlsx
345,Albacete,7,4,0,2,0,0,0,0,1,2022_2T.xlsx
346,Ciudad Real,9,6,2,0,0,0,0,0,1,2022_2T.xlsx
347,Cuenca,1,1,0,0,0,0,0,0,0,2022_2T.xlsx
348,Guadalajara,2,0,1,0,0,0,0,0,1,2022_2T.xlsx
349,Toledo,10,1,1,1,0,1,0,0,6,2022_2T.xlsx
