,PJ,Comunidad/Provincia,Total,T_Voluntario,T_Necesario,T_Consecutivo,Unnamed: 6,C_Ordinario,C_Especial,C_Sin Masa,Filename
335,empresas,Salamanca,6,6,0,0,,2,3,1,2021_3T.xlsx
336,empresas,Segovia,1,1,0,0,,0,0,1,2021_3T.xlsx
337,empresas,Soria,1,1,0,0,,1,0,0,2021_3T.xlsx
338,empresas,Valladolid,15,15,0,0,,5,0,10,2021_3T.xlsx
339,empresas,Zamora,0,0,0,0,,0,0,0,2021_3T.xlsx
340,empresas,Castilla-La Mancha,37,36,0,1,,11,1,25,2021_3T.xlsx
341,empresas,Albacete,6,6,0,0,,2,0,4,2021_3T.xlsx
342,empresas,Ciudad Real,7,7,0,0,,1,0,6,2021_3T.xlsx
343,empresas,Cuenca,6,6,0,0,,2,0,4,2021_3T.xlsx
344,empresas,Guadalajara,4,4,0,0,,0,0,4,2021_3T.xlsx
345,empresas,Toledo,14,13,0,1,,6,1,7,2021_3T.xlsx
346,empresas,Cataluña,237,231,1,5,,64,6,166,2021_3T.xlsx
347,empresas,Barcelona,198,194,1,3,,51,2,144,2021_3T.xlsx
348,empresas,Girona,17,17,0,0,,8,1,8,2021_3T.xlsx
349,empresas,Lleida,11,9,0,2,,1,0,10,2021_3T.xlsx
350,empresas,Tarragona,11,11,0,0,,4,3,4,2021_3T.xlsx
351,empresas,Comunitat Valenciana,146,144,1,1,,38,8,100,2021_3T.xlsx
352,empresas,Alicante,44,44,0,0,,11,8,25,2021_3T.xlsx
353,empresas,Castellón,20,20,0,0,,11,0,9,2021_3T.xlsx
