,Comunidad/Provincia,Total,NA0,NA1-2,NA3-5,NA6-9,NA10-19,NA20-49,NA50-99,NA100 o más,SD,Filename
233,Extremadura,16,1,1,3,2,1,2,0,0,6,2021_4T.xlsx
234,Badajoz,10,0,0,2,2,0,1,0,0,5,2021_4T.xlsx
235,Cáceres,6,1,1,1,0,1,1,0,0,1,2021_4T.xlsx
236,Galicia,43,15,6,5,4,5,3,0,0,5,2021_4T.xlsx
237,A Coruña,23,10,2,2,1,3,2,0,0,3,2021_4T.xlsx
238,Lugo,8,1,2,2,2,0,0,0,0,1,2021_4T.xlsx
239,Ourense,3,1,1,0,0,0,0,0,0,1,2021_4T.xlsx
240,Pontevedra,9,3,1,1,1,2,1,0,0,0,2021_4T.xlsx
241,Madrid,264,70,36,36,26,26,12,3,0,55,2021_4T.xlsx
242,Murcia,17,3,3,2,2,3,1,0,0,3,2021_4T.xlsx
243,Navarra,13,2,5,0,2,1,1,0,0,2,2021_4T.xlsx
244,Pais Vasco,63,11,8,16,11,7,3,1,1,5,2021_4T.xlsx
245,Araba/Álava,6,1,0,2,2,0,1,0,0,0,2021_4T.xlsx
246,Bizkaia,42,8,7,9,6,5,1,1,1,4,2021_4T.xlsx
247,Gipuzkoa,15,2,1,5,3,2,1,0,0,1,2021_4T.xlsx
248,La Rioja,0,0,0,0,0,0,0,0,0,0,2021_4T.xlsx
249,Ceuta y Melilla,1,0,0,0,1,0,0,0,0,0,2021_4T.xlsx
250,Ceuta,0,0,0,0,0,0,0,0,0,0,2021_4T.xlsx
251,Melilla,1,0,0,0,1,0,0,0,0,0,2021_4T.xlsx
252,Andalucía,109,27,16,15,8,12,5,0,0,26,2022_1T.xlsx
253,Almería,8,3,1,2,1,0,0,0,0,1,2022_1T.xlsx
254,Cádiz,12,3,3,0,2,0,1,0,0,3,2022_1T.xlsx
255,Córdoba,8,2,3,2,0,0,0,0,0,1,2022_1T.xlsx
256,Granada,12,2,2,1,1,2,1,0,0,3,2022_1T.xlsx
257,Huelva,7,1,0,1,1,0,1,0,0,3,2022_1T.xlsx
258,Jaén,1,1,0,0,0,0,0,0,0,0,2022_1T.xlsx
259,Málaga,25,5,4,5,2,5,1,0,0,3,2022_1T.xlsx
260,Sevilla,36,10,3,4,1,5,1,0,0,12,2022_1T.xlsx
261,Aragón,48,9,8,5,5,6,3,1,0,11,2022_1T.xlsx
262,Huesca,4,1,0,0,0,0,2,0,0,1,2022_1T.xlsx
