Unnamed: 0,PJ,Comunidad/Provincia,Total,T_Voluntario,T_Necesario,T_Consecutivo,Unnamed: 6,C_Ordinario,C_Especial,C_Sin Masa,Filename,prov_limpia,comunidad_autonoma_manual
221,empresas,Toledo,12,10,0,2,,7,1,4,2021_2T.xlsx,toledo,Castilla La Mancha
222,empresas,Cataluña,331,323,5,3,,120,7,204,2021_2T.xlsx,cataluna,
223,empresas,Barcelona,274,267,4,3,,88,4,182,2021_2T.xlsx,barcelona,Cataluña
224,empresas,Girona,22,22,0,0,,12,3,7,2021_2T.xlsx,girona,Cataluña
225,empresas,Lleida,9,9,0,0,,5,0,4,2021_2T.xlsx,lleida,Cataluña
226,empresas,Tarragona,26,25,1,0,,15,0,11,2021_2T.xlsx,tarragona,Cataluña
227,empresas,Comunitat Valenciana,176,173,1,2,,41,25,110,2021_2T.xlsx,comunitat valenciana,
228,empresas,Alicante,54,54,0,0,,11,15,28,2021_2T.xlsx,alicante,Valencia
229,empresas,Castellón,11,11,0,0,,8,0,3,2021_2T.xlsx,castellon,Valencia
230,empresas,Valencia,111,108,1,2,,22,10,79,2021_2T.xlsx,valencia,Valencia
231,empresas,Extremadura,13,13,0,0,,9,0,4,2021_2T.xlsx,extremadura,
232,empresas,Badajoz,9,9,0,0,,7,0,2,2021_2T.xlsx,badajoz,Extremadura
233,empresas,Cáceres,4,4,0,0,,2,0,2,2021_2T.xlsx,caceres,Extremadura
234,empresas,Galicia,48,46,2,0,,37,0,11,2021_2T.xlsx,galicia,
235,empresas,A Coruña,17,17,0,0,,11,0,6,2021_2T.xlsx,a coruna,Galicia
236,empresas,Lugo,6,6,0,0,,6,0,0,2021_2T.xlsx,lugo,Galicia
237,empresas,Ourense,4,4,0,0,,3,0,1,2021_2T.xlsx,ourense,Galicia
238,empresas,Pontevedra,21,19,2,0,,17,0,4,2021_2T.xlsx,pontevedra,Galicia
239,empresas,Madrid,345,344,1,0,,54,13,278,2021_2T.xlsx,madrid,Madrid
240,empresas,Murcia,25,21,2,2,,18,0,7,2021_2T.xlsx,murcia,Murcia
241,empresas,Navarra,7,7,0,0,,4,0,3,2021_2T.xlsx,navarra,Navarra
242,empresas,Pais Vasco,66,65,0,1,,28,3,35,2021_2T.xlsx,pais vasco,
243,empresas,Araba/Álava,10,10,0,0,,3,0,7,2021_2T.xlsx,araba alava,Pais Vasco
244,empresas,Bizkaia,32,31,0,1,,17,3,12,2021_2T.xlsx,bizkaia,Pais Vasco
245,empresas,Gipuzkoa,24,24,0,0,,8,0,16,2021_2T.xlsx,gipuzkoa,Pais Vasco
246,,La Rioja,5,5,0,0,,4,0,1,2021_2T.xlsx,la rioja,La Rioja
247,,Ceuta y Melilla,0,0,0,0,,0,0,0,2021_2T.xlsx,ceuta y melilla,
248,fisica,Andalucía,154,20,0,134,,138,0,16,2021_3T.xlsx,andalucia,
249,fisica,Almería,19,2,0,17,,17,0,2,2021_3T.xlsx,almeria,Andalucia
250,fisica,Cádiz,23,2,0,21,,21,0,2,2021_3T.xlsx,cadiz,Andalucia
251,fisica,Córdoba,9,0,0,9,,7,0,2,2021_3T.xlsx,cordoba,Andalucia
252,fisica,Granada,21,2,0,19,,19,0,2,2021_3T.xlsx,granada,Andalucia
253,fisica,Huelva,2,0,0,2,,2,0,0,2021_3T.xlsx,huelva,Andalucia
254,fisica,Jaén,7,0,0,7,,5,0,2,2021_3T.xlsx,jaen,Andalucia
255,fisica,Málaga,22,8,0,14,,20,0,2,2021_3T.xlsx,malaga,Andalucia
256,fisica,Sevilla,51,6,0,45,,47,0,4,2021_3T.xlsx,sevilla,Andalucia
257,fisica,Aragón,68,13,0,55,,45,0,23,2021_3T.xlsx,aragon,
258,fisica,Huesca,9,4,0,5,,8,0,1,2021_3T.xlsx,huesca,Aragon
259,fisica,Teruel,6,0,0,6,,4,0,2,2021_3T.xlsx,teruel,Aragon
260,fisica,Zaragoza,53,9,0,44,,33,0,20,2021_3T.xlsx,zaragoza,Aragon
261,fisica,Asturias,42,19,0,23,,18,0,24,2021_3T.xlsx,asturias,Asturias
262,fisica,"Balears, Illes",31,16,0,15,,28,0,3,2021_3T.xlsx,balears illes,Baleares
263,fisica,Canarias,71,12,0,59,,55,1,15,2021_3T.xlsx,canarias,
264,fisica,Las Palmas de Gran Canaria,48,5,0,43,,32,1,15,2021_3T.xlsx,las palmas de gran canaria,
265,fisica,Santa Cruz de Tenerife,23,7,0,16,,23,0,0,2021_3T.xlsx,santa cruz de tenerife,Canarias
266,fisica,Cantabria,13,8,0,5,,13,0,0,2021_3T.xlsx,cantabria,Cantabria
267,fisica,Castilla y León,51,21,0,30,,38,0,13,2021_3T.xlsx,castilla y leon,
268,fisica,Ávila,0,0,0,0,,0,0,0,2021_3T.xlsx,avila,Castilla y Leon
269,fisica,Burgos,6,2,0,4,,6,0,0,2021_3T.xlsx,burgos,Castilla y Leon
270,fisica,León,15,9,0,6,,14,0,1,2021_3T.xlsx,leon,Castilla y Leon
271,fisica,Palencia,0,0,0,0,,0,0,0,2021_3T.xlsx,palencia,Castilla y Leon
272,fisica,Salamanca,10,4,0,6,,2,0,8,2021_3T.xlsx,salamanca,Castilla y Leon
273,fisica,Segovia,3,1,0,2,,3,0,0,2021_3T.xlsx,segovia,Castilla y Leon
